paper_id,key,relevance_class,original_path,placed_path_6a08f53,current_path,original_sha256,final_sha256,same_content,acquisition_status,source_url,license_reported,storage_status,disposition
RW0001,CRYPTONITE,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/CRYPTONITE.pdf,related_work/papers/hls_dse/RW0001_Maheswaran2025_CRYPTONITE_ASAP_arxiv.pdf,related_work/papers/hls_dse/RW0001_Maheswaran2025_CRYPTONITE_ASAP_arxiv.pdf,50310049e0a1c79620053787c1d870bd3c6d8d1cc52c1225dec08810dd5d8764,50310049e0a1c79620053787c1d870bd3c6d8d1cc52c1225dec08810dd5d8764,true,DOWNLOADED_OPEN_ACCESS,https://arxiv.org/pdf/2505.14657,none (OpenAlex: closed),local_only (gitignored),canonical
RW0003,MultiFPGAAlloc,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/MultiFPGAAlloc.pdf,related_work/papers/concurrent_multikernel/RW0003_Shan2019_MultiFPGAAlloc_DAC_accepted.pdf,related_work/papers/concurrent_multikernel/RW0003_Shan2019_MultiFPGAAlloc_DAC_accepted.pdf,07bce8536ccb0793cd0ebc2c39ec9e6a934150cdb35fa246acaf63231f6e522e,07bce8536ccb0793cd0ebc2c39ec9e6a934150cdb35fa246acaf63231f6e522e,true,DOWNLOADED_OPEN_ACCESS,https://upcommons.upc.edu/bitstreams/3c0caaa4-c9bf-414e-bd41-bb46034b5c74/download,other-oa for OA version (green; https://upcommons.upc.edu/bitstream/2117/166417/3/dac2019.pdf),local_only (gitignored),canonical
RW0004,EnergyOptAlloc,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/EnergyOptAlloc.pdf,related_work/papers/concurrent_multikernel/RW0004_Shan2022_EnergyOptAlloc_TCAD_accepted.pdf,related_work/papers/concurrent_multikernel/RW0004_Shan2022_EnergyOptAlloc_TCAD_accepted.pdf,e52ff84e7a15b13b028efa3fa935bdadc265b0be0a3af80d57d8168509d9ebb8,e52ff84e7a15b13b028efa3fa935bdadc265b0be0a3af80d57d8168509d9ebb8,true,DOWNLOADED_OPEN_ACCESS,https://upcommons.upc.edu/bitstreams/b3350461-2a18-4055-95c8-b9c2249d7168/download,public-domain for OA version (green; https://upcommons.upc.edu/bitstream/2117/346425/3/TCAD_brief_clean.pdf),local_only (gitignored),canonical
RW0006,CMMFO,CORE,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/CMMFO.pdf,related_work/papers/core/RW0006_Sun2021_CMMFO_DATE_accepted.pdf,related_work/papers/core/RW0006_Sun2021_CMMFO_DATE_accepted.pdf,6de6884b3a23a7cd142e5a41ad52087e9ad96295d555b098f0320bd46068bb45,6de6884b3a23a7cd142e5a41ad52087e9ad96295d555b098f0320bd46068bb45,true,DOWNLOADED_OPEN_ACCESS,https://www.cse.cuhk.edu.hk/~byu/papers/C114-DATE2021-MultiFidelity.pdf,none (OpenAlex: closed),local_only (gitignored),canonical
RW0008,HLSFactory,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/HLSFactory.pdf,related_work/papers/other/RW0008_AbiKaram2024_HLSFactory_MLCAD_arxiv.pdf,related_work/papers/hls_dse/RW0008_AbiKaram2024_HLSFactory_MLCAD_arxiv.pdf,d4a8be4b378d2e8285bc1106d8d28db6bb1dd3f8d6fbde196ef8a202efa6da5e,d4a8be4b378d2e8285bc1106d8d28db6bb1dd3f8d6fbde196ef8a202efa6da5e,true,DOWNLOADED_OPEN_ACCESS,https://arxiv.org/pdf/2405.00820,cc-by for OA version (gold; https://doi.org/10.1145/3670474.3685961),local_only (gitignored),canonical; recategorized other->hls_dse (2026-09-25)
RW0009,HierQoR,SUPPORTING,/home/benyamin/Desktop/Library/Hierarchical Source-to-Post-Route QoR Prediction.pdf,related_work/papers/multifidelity/RW0009_Gao2024_HierQoR_DATE_arxiv.pdf,related_work/papers/multifidelity/RW0009_Gao2024_HierQoR_DATE_arxiv.pdf,27f0e3e78596eb1cac6ec91f7c88c988d2f888090e264f7df2260c84d579c5fb,27f0e3e78596eb1cac6ec91f7c88c988d2f888090e264f7df2260c84d579c5fb,true,LOCAL_EXISTING,,none (OpenAlex: closed),local_only (gitignored),canonical
RW0010,CollectiveHLS,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/CollectiveHLS.pdf,related_work/papers/hls_dse/RW0010_Ferikoglou2024_CollectiveHLS_TRETS.pdf,related_work/papers/hls_dse/RW0010_Ferikoglou2024_CollectiveHLS_TRETS.pdf,91a853ae675cd3dce59b1d22663d808f3453a8a6f99f9296f68913ec98e963a5,91a853ae675cd3dce59b1d22663d808f3453a8a6f99f9296f68913ec98e963a5,true,DOWNLOADED_OPEN_ACCESS,https://web.archive.org/web/20250218071710id_/https://dl.acm.org/doi/pdf/10.1145/3702005,cc-by for OA version (hybrid; https://doi.org/10.1145/3702005),local_only (gitignored),canonical
RW0011,StreamHLS,CORE,/home/benyamin/Desktop/Library/Stream-HLS: Towards Automatic Dataflow Acceleration.pdf,related_work/papers/concurrent_multikernel/RW0011_Basalama2025_StreamHLS_FPGA.pdf,related_work/papers/core/RW0011_Basalama2025_StreamHLS_FPGA.pdf,83570565411d5f63c5e08bb883c9eacde9d3cb0402f3381bf23a8d1d700f888b,83570565411d5f63c5e08bb883c9eacde9d3cb0402f3381bf23a8d1d700f888b,true,LOCAL_EXISTING,,cc-by-nc-sa for OA version (gold; https://doi.org/10.1145/3706628.3708878),local_only (gitignored),moved_within_canonical (related_work/papers/concurrent_multikernel/RW0011_Basalama2025_StreamHLS_FPGA.pdf -> related_work/papers/core/RW0011_Basalama2025_StreamHLS_FPGA.pdf)
RW0012,MTBO,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/MTBO.pdf,related_work/papers/multifidelity/RW0012_Swersky2013_MTBO_NeurIPS.pdf,related_work/papers/multifidelity/RW0012_Swersky2013_MTBO_NeurIPS.pdf,294123432b98a2fa5dc3eed6a2e3a6f5c3df03473f0f5350aa046640cb0acb57,294123432b98a2fa5dc3eed6a2e3a6f5c3df03473f0f5350aa046640cb0acb57,true,DOWNLOADED_OPEN_ACCESS,https://papers.nips.cc/paper_files/paper/2013/file/f33ba15effa5c10e873bf3842afb46a6-Paper.pdf,UNKNOWN (no DOI or lookup failed),local_only (gitignored),canonical
RW0013,CMOBOOCE,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/CMOBOOCE.pdf,related_work/papers/bo_mobo/RW0013_Li2025_CMOBOOCE_AISTATS.pdf,related_work/papers/bo_mobo/RW0013_Li2025_CMOBOOCE_AISTATS.pdf,ea366cbae1c5ec14fc7a9b6a991e710c42898914cd5cd52e0fefe20f61f340f0,ea366cbae1c5ec14fc7a9b6a991e710c42898914cd5cd52e0fefe20f61f340f0,true,DOWNLOADED_OPEN_ACCESS,https://raw.githubusercontent.com/mlresearch/v258/main/assets/li25a/li25a.pdf,UNKNOWN (no DOI or lookup failed),local_only (gitignored),canonical
RW0014,CoopBO,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/CoopBO.pdf,related_work/papers/bo_mobo/RW0014_Pretsch2025_CoopBO_SMO.pdf,related_work/papers/bo_mobo/RW0014_Pretsch2025_CoopBO_SMO.pdf,62192a8fbea6c95933f66a86f95218e0b7535ccc9f483fa434417046e48d8a84,62192a8fbea6c95933f66a86f95218e0b7535ccc9f483fa434417046e48d8a84,true,DOWNLOADED_OPEN_ACCESS,https://link.springer.com/content/pdf/10.1007/s00158-025-03998-w.pdf,cc-by for OA version (hybrid; https://link.springer.com/content/pdf/10.1007/s00158-025-03998-w.pdf),local_only (gitignored),canonical
RW0017,AutoDSE,SUPPORTING,/home/benyamin/Desktop/AutoDSE/docs/paper/AutoDSE_FPGA_Accelerators.pdf,related_work/papers/hls_dse/RW0017_Sohrabizadeh2022_AutoDSE_TODAES.pdf,related_work/papers/hls_dse/RW0017_Sohrabizadeh2022_AutoDSE_TODAES.pdf,6e32d9176c76c0554e40ad28e4b1f2b52ffb875eeb5e48d236429ec8f9866f4f,6e32d9176c76c0554e40ad28e4b1f2b52ffb875eeb5e48d236429ec8f9866f4f,true,LOCAL_EXISTING,,no license stated for OA version (bronze; https://dl.acm.org/doi/pdf/10.1145/3494534),local_only (gitignored),canonical
RW0018,Chimera,SUPPORTING,/tmp/claude-1000/-home-benyamin-Desktop-HLS-DSE/4c11f75c-cc9c-4381-bce9-7d10235d1961/scratchpad/rw_dl/Chimera.pdf,related_work/papers/hls_dse/RW0018_Yu2022_Chimera_arXiv.pdf,related_work/papers/hls_dse/RW0018_Yu2022_Chimera_arXiv.pdf,9be54035dfb9985b3f7d2b6199d0fe4fd7be8dfacad1efdb8d0511b3473c3eb6,9be54035dfb9985b3f7d2b6199d0fe4fd7be8dfacad1efdb8d0511b3473c3eb6,true,DOWNLOADED_OPEN_ACCESS,https://arxiv.org/pdf/2207.07917,no license stated for OA version (green; https://arxiv.org/pdf/2207.07917),local_only (gitignored),canonical
