paper_id,key,title,authors,year,venue,doi,url,decision,reason,identity_issue,original_location,local_copy,sha256,pdf_availability,reviewed_by,date,full_review_record
RW0024,Balor,Balor: HLS Source Code Evaluator Based on Custom Graphs and Hierarchical GNNs,"Murphy, Emmet; Josipović, Lana",2024,ICCAD,10.1145/3676536.3676788,https://doi.org/10.1145/3676536.3676788,ADJACENT,Another GNN QoR evaluator; covered for S89 by HARP/GNN-DSE/HierQoR; no additional Study need.,none (identity verified),/home/benyamin/Desktop/Library/Balor HLS Source Code EvaluatorBased on Custom Graphs and Hierarchical GNNs.pdf,none in repo; original retained,0101982c5232336648945d0eb5d95d42eac1757df1805a0312c7cc4cae645539,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0024_Balor.md
RW0025,HLPerf,HLPerf: Demystifying the Performance of HLS-based Graph Neural Networks with Dataflow Architectures,"Zhao, Chenfeng; Faber, Clayton J.; Chamberlain, Roger D.; Zhang, Xuan",2024,ACM TRETS,10.1145/3655627,https://doi.org/10.1145/3655627,ADJACENT,"Performance characterization/simulation of HLS GNN dataflow accelerators; application study, not a DSE or evidence question.",Not a predictor: performance simulation/characterization of HLS GNN dataflow accelerators (TRETS 2024).,"Legitimate OA copy (CC-BY, hybrid; OpenAlex): https://dl.acm.org/doi/pdf/10.1145/3655627 - scripted download refused (HTTP 403); browser download only. No PDF stored, no hash.",none,,BROWSER_ONLY,Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0025_HLPerf.md
RW0027,Iceberg,Iceberg: Enhancing HLS Modeling with Synthetic Data,"Ding, Zijian; Nguyen, Tung; Li, Weikai; Grover, Aditya; Sun, Yizhou; Cong, Jason",2025,ICLAD,10.1109/ICLAD65226.2025.00032,https://doi.org/10.1109/ICLAD65226.2025.00032,ADJACENT,"Synthetic data for HLS model training; model-training aid, no Study question.",none (identity verified),/home/benyamin/Desktop/Library/Iceberg: Enhancing HLS Modeling with Synthetic Data.pdf,none in repo; original retained,ae8c9505e90524abfecb69e0ddc3815cd4911a156ce636abe3faf29b0686d18c,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0027_Iceberg.md
RW0028,LIFT,LIFT: LLM-Based Pragma Insertion for HLS via GNN Supervised Fine-Tuning,"Prakriya, Neha; Ding, Zijian; Sun, Yizhou; Cong, Jason",2025,arXiv,10.48550/arXiv.2504.21187,https://arxiv.org/abs/2504.21187,ADJACENT,LLM-based pragma insertion; LLM-guided search is a deferred optional extension (R11 §4.F/K).,none (identity verified),/home/benyamin/Desktop/Library/LIFT: LLM-Based Pragma Insertion for HLS via GNN Supervised Fine-Tuning.pdf,none in repo; original retained,921d038cefa1395c43efbdc3861d2fcbc82ad75aa770927bd764f8ba22bd1bd2,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0028_LIFT.md
RW0029,LLMDSE,LLM-DSE: Searching Accelerator Parameters with LLM Agents,"Wang, Hanyu; Wu, Xinrui; Ding, Zijian; Zheng, Su; Wang, Chengyue; Prakriya, Neha; Nowatzki, Tony; Sun, Yizhou; Cong, Jason",2025,arXiv,10.48550/arXiv.2505.12188,https://arxiv.org/abs/2505.12188,ADJACENT,LLM-agent accelerator parameter search; LLM-guided search is deferred (R11 §4.F/K).,none (identity verified),/home/benyamin/Desktop/Library/LLM-DSE: Searching Accelerator Parameters with LLM Agents.pdf,none in repo; original retained,5d75eca169c909724154fc3604f43a14b8dde95f3929db75a01da720f2bdeb56,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0029_LLMDSE.md
RW0034,MPMLLM4DSE,MPM-LLM4DSE: Reaching the Pareto Frontier in HLS with Multimodal Learning and LLM-Driven Exploration,"Xu, Lei; Wang, Shanshan; Xiao, Chenglong",2026,DATE,10.23919/DATE69613.2026.11539388,https://arxiv.org/abs/2601.04801,ADJACENT,Multimodal prediction + LLM-driven HLS exploration; LLM-guided search is deferred (R11 §4.F/K). Kept in the prior-art check table.,"Year 2026 (DATE 2026), not 2025.",https://arxiv.org/pdf/2601.04801,related_work/noncanonical_pdfs/ADJACENT/RW0034_Xu2026_MPMLLM4DSE_DATE_arxiv.pdf,3fc8c97cb72af9abbcd00c8463706203c2b53516b047022852d0d5dd53585eb7,PDF_AVAILABLE,Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0034_MPMLLM4DSE.md
RW0038,RapidStream2,RapidStream 2.0: Automated Parallel Implementation of Latency–Insensitive FPGA Designs Through Partial Reconfiguration,"Guo, Licheng; Maidee, Pongstorn; Zhou, Yun; Lavin, Chris; Hung, Eddie; Li, Wuxi; Lau, Jason; Qiao, Weikang; Chi, Yuze; Song, Linghao; Xiao, Yuanlong; Kaviani, Alireza; Zhang, Zhiru; Cong, Jason",2023,ACM TRETS,10.1145/3593025,https://doi.org/10.1145/3593025,ADJACENT,Parallel physical implementation via partial reconfiguration to cut compile time; implementation tooling rather than a Study question.,none (identity verified),/home/benyamin/Desktop/Library/RapidStream 2.0: Automated Parallel Implementation of Latency–Insensitive FPGA Designs Through Partial Reconfiguration.pdf,none in repo; original retained,84621e5b380a0700bc525719721e5373832f155ad68715efb50f46209c03f955,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0038_RapidStream2.md
RW0039,TAPA,TAPA: A Scalable Task-parallel Dataflow Programming Framework for Modern FPGAs with Co-optimization of HLS and Physical Design,"Guo, Licheng; Chi, Yuze; Lau, Jason; Song, Linghao; Tian, Xingyu; Khatti, Moazin; Qiao, Weikang; Wang, Jie; Ustun, Ecenur; Fang, Zhenman; Zhang, Zhiru; Cong, Jason",2023,ACM TRETS,10.1145/3609335,https://doi.org/10.1145/3609335,ADJACENT,Task-parallel dataflow programming framework (tool infrastructure).,none (identity verified),/home/benyamin/Desktop/Library/TAPA: A Scalable Task-parallel Dataflow Programming Framework for Modern FPGAs with Co-optimization of HLS and Physical Design.pdf,none in repo; original retained,4c527f953fc0bdc8abf7d0e1c335eabe632f91165daf90241eb08469210037c6,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0039_TAPA.md
RW0040,RapidStreamIR,RapidStream IR: Infrastructure for FPGA High-Level Physical Synthesis,"Lau, Jason; Xiao, Yuanlong; Xie, Yutong; Chi, Yuze; Song, Linghao; Xiang, Shaojie; Lo, Michael; Zhang, Zhiru; Cong, Jason; Guo, Licheng",2024,ICCAD,10.1145/3676536.3676649,https://doi.org/10.1145/3676536.3676649,ADJACENT,IR infrastructure for high-level physical synthesis (tool infrastructure).,none (identity verified),/home/benyamin/Desktop/Library/RapidStream IR: Infrastructure for FPGA High-Level Physical Synthesis.pdf,none in repo; original retained,af17ea282c55cb76ee37ee66b5ccdfc1617075be284efd85bc11c22dd351d6f1,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0040_RapidStreamIR.md
RW0041,TAPACS,TAPA-CS: Enabling Scalable Accelerator Design on Distributed HBM-FPGAs,"Prakriya, Neha; Chi, Yuze; Basalama, Suhail; Song, Linghao; Cong, Jason",2024,ASPLOS,10.1145/3620666.3651347,https://doi.org/10.1145/3620666.3651347,ADJACENT,Scaling accelerators across distributed HBM FPGAs; outside the fixed single xc7z020 reference device.,none (identity verified),/home/benyamin/Desktop/Library/TAPA-CS: Enabling Scalable Accelerator Design on Distributed HBM-FPGAs.pdf,none in repo; original retained,63eea3584b15f3501a0e3a4fe26000015159d65671c335b656f747547669e227,PDF_AVAILABLE (original only),Claude Code (AI) literature review; human confirmation pending at gate,2026-09-25,git show 6a08f53:related_work/notes/RW0041_TAPACS.md
